epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,801.955,0.33113,0.51867,0.47862,0.95034,0.72486,0.96429,0.87655,0.82139,0.69099,0.92857,0.83252,0.75191,0.2912,0.12089,0.52288,0.9442,0.000448246,0.000448246,0.000448246
130,808.101,0.34156,0.53489,0.59859,0.95675,0.77785,0.95671,0.92393,0.86886,0.72787,0.90314,0.85464,0.7997,0.30115,0.12186,0.54278,0.96377,0.000444646,0.000444646,0.000444646
131,814.374,0.31345,0.56182,0.54581,0.95201,0.75276,0.91398,0.91679,0.85997,0.68557,0.84282,0.82073,0.78358,0.33205,0.1252,0.5242,0.98165,0.000441047,0.000441047,0.000441047
132,820.487,0.32613,0.49803,0.47689,0.94732,0.89203,0.93561,0.98786,0.87847,0.82356,0.86418,0.88741,0.84439,0.44918,0.12909,0.55062,1.07765,0.000437447,0.000437447,0.000437447
133,826.756,0.33058,0.46332,0.51491,0.94167,0.93643,0.94446,0.98786,0.88649,0.88468,0.89089,0.93484,0.85049,0.45416,0.12724,0.48631,1.10894,0.000433848,0.000433848,0.000433848
134,833.358,0.31004,0.5132,0.48257,0.92536,0.8884,0.96429,0.98786,0.89616,0.801,0.875,0.9039,0.85408,0.43178,0.12701,0.41579,1.08293,0.000430248,0.000430248,0.000430248
135,840.402,0.30715,0.48916,0.44567,0.93354,0.89016,0.96429,0.98786,0.89426,0.82008,0.89286,0.91394,0.84569,0.42359,0.12794,0.44788,1.06148,0.000426648,0.000426648,0.000426648
136,846.324,0.32852,0.53293,0.53668,0.93873,0.86699,0.96429,0.91679,0.82729,0.78047,0.875,0.82255,0.77007,0.40601,0.13039,0.44972,1.00433,0.000423049,0.000423049,0.000423049
137,852.617,0.35557,0.53756,0.53281,0.9609,0.79348,0.96429,0.98786,0.91801,0.70895,0.875,0.88978,0.8552,0.35606,0.1255,0.46416,0.94002,0.000419449,0.000419449,0.000419449
138,859.006,0.33575,0.61175,0.50764,0.94964,0.86904,0.90804,0.92393,0.87128,0.78275,0.81876,0.82175,0.78888,0.33425,0.13041,0.47625,0.92868,0.000415849,0.000415849,0.000415849
139,865.271,0.34352,0.50763,0.52738,0.9582,0.8628,0.90287,0.91679,0.87731,0.77597,0.81498,0.81514,0.78332,0.31776,0.13307,0.47187,0.93352,0.00041225,0.00041225,0.00041225
140,871.202,0.3061,0.42518,0.48101,0.93859,0.85718,0.91401,0.8931,0.84781,0.78793,0.84267,0.80711,0.76223,0.31532,0.13325,0.45191,0.94587,0.00040865,0.00040865,0.00040865
141,877.465,0.33339,0.58519,0.49952,0.93363,0.84563,0.96429,0.8931,0.83929,0.75951,0.875,0.77742,0.75528,0.3256,0.13397,0.44286,0.96774,0.00040505,0.00040505,0.00040505
142,883.385,0.29545,0.55132,0.4588,0.90728,0.83587,0.96429,0.8931,0.83434,0.76418,0.89286,0.79398,0.76085,0.36361,0.14183,0.44405,0.99767,0.000401451,0.000401451,0.000401451
143,889.639,0.29215,0.47482,0.44512,0.92093,0.81824,0.96429,0.88125,0.82688,0.76644,0.91071,0.81466,0.75205,0.34526,0.14305,0.44785,0.98155,0.000397851,0.000397851,0.000397851
144,895.704,0.30687,0.43943,0.4368,0.92629,0.89249,0.96033,0.91679,0.85859,0.85738,0.92461,0.88293,0.79928,0.32749,0.12843,0.44459,0.97495,0.000394251,0.000394251,0.000394251
145,901.9,0.29923,0.45676,0.48513,0.92423,0.89547,0.96318,0.91679,0.8485,0.87795,0.94532,0.89418,0.79537,0.33127,0.12567,0.42676,0.98048,0.000390652,0.000390652,0.000390652
146,908.008,0.28837,0.48525,0.43973,0.9053,0.89782,0.96429,0.98786,0.89451,0.8628,0.92857,0.9494,0.87006,0.35141,0.12557,0.40401,1.02247,0.000387052,0.000387052,0.000387052
147,914.269,0.29881,0.43715,0.4655,0.91954,0.90145,0.96751,0.995,0.92444,0.86644,0.9318,0.95622,0.8795,0.35379,0.12644,0.39654,1.01762,0.000383453,0.000383453,0.000383453
148,920.937,0.3218,0.60654,0.45164,0.91788,0.89519,0.97137,0.92393,0.85619,0.86031,0.93566,0.88623,0.81271,0.38922,0.12554,0.41452,1.03731,0.000379853,0.000379853,0.000379853
149,927.138,0.29807,0.46453,0.45292,0.93324,0.90589,0.97136,0.92393,0.86375,0.8707,0.93569,0.8842,0.80568,0.36247,0.12778,0.38361,1.00545,0.000376253,0.000376253,0.000376253
150,933.241,0.30287,0.39442,0.419,0.9307,0.89326,0.97436,0.92393,0.86664,0.84111,0.92082,0.86246,0.78705,0.38664,0.13229,0.41121,0.99782,0.000372654,0.000372654,0.000372654
151,939.352,0.30597,0.45977,0.48842,0.92943,0.90454,0.97128,0.995,0.87163,0.83358,0.90004,0.90146,0.83877,0.43,0.13591,0.44892,1.03715,0.000369054,0.000369054,0.000369054
152,945.542,0.31624,0.38313,0.44898,0.93442,0.9391,0.96988,0.995,0.87506,0.90418,0.93416,0.96203,0.85828,0.39538,0.13559,0.42677,1.00686,0.000365454,0.000365454,0.000365454
153,951.819,0.30443,0.59996,0.47658,0.92747,0.90873,0.96429,0.98786,0.93054,0.87368,0.92857,0.95712,0.85344,0.36042,0.13086,0.42035,0.97822,0.000361855,0.000361855,0.000361855
154,957.958,0.31786,0.49811,0.5002,0.92742,0.86174,0.96429,0.98786,0.94849,0.79209,0.89286,0.91051,0.85424,0.34013,0.13321,0.45635,0.96642,0.000358255,0.000358255,0.000358255
155,964.315,0.29307,0.45065,0.45207,0.92899,0.81039,0.96429,0.91679,0.88103,0.75909,0.91071,0.85154,0.78077,0.30253,0.13369,0.49802,0.94706,0.000354655,0.000354655,0.000354655
156,970.454,0.29431,0.53859,0.48255,0.93246,0.7866,0.93704,0.92393,0.87906,0.73593,0.88347,0.84464,0.79296,0.27555,0.13663,0.52474,0.92808,0.000351056,0.000351056,0.000351056
157,976.737,0.31206,0.41335,0.46823,0.92625,0.85791,0.90733,0.92393,0.89368,0.78972,0.83664,0.84436,0.79561,0.2877,0.13682,0.49133,0.92659,0.000347456,0.000347456,0.000347456
158,983.377,0.27105,0.42833,0.44552,0.90353,0.88684,0.90088,0.98786,0.91989,0.81794,0.82945,0.91648,0.85146,0.3347,0.12916,0.47649,0.9556,0.000343857,0.000343857,0.000343857
159,989.562,0.27217,0.39164,0.41738,0.89938,0.87088,0.9575,0.91202,0.85208,0.78448,0.86899,0.81802,0.78025,0.34378,0.12556,0.43801,0.95237,0.000340257,0.000340257,0.000340257
160,995.615,0.288,0.41823,0.43715,0.90495,0.89605,0.96429,0.90607,0.85767,0.82623,0.89286,0.82674,0.78191,0.3264,0.12352,0.40304,0.94465,0.000336657,0.000336657,0.000336657
161,1001.9,0.29706,0.56523,0.43495,0.92991,0.90927,0.96429,0.97969,0.91756,0.87399,0.92857,0.94901,0.86365,0.34065,0.12518,0.39434,0.9654,0.000333058,0.000333058,0.000333058
162,1007.99,0.27204,0.37939,0.40027,0.90376,0.9084,0.96429,0.98786,0.91818,0.83776,0.89286,0.92064,0.86775,0.3708,0.12529,0.38452,0.99794,0.000329458,0.000329458,0.000329458
163,1014.2,0.29428,0.43663,0.4525,0.93547,0.90094,0.96429,0.97969,0.90263,0.84819,0.91071,0.93427,0.86159,0.3622,0.1285,0.38666,0.98236,0.000325858,0.000325858,0.000325858
164,1020.34,0.29632,0.39052,0.42346,0.92454,0.85765,0.92639,0.90862,0.84636,0.77156,0.8371,0.81908,0.7752,0.32039,0.13219,0.4167,0.92433,0.000322259,0.000322259,0.000322259
165,1026.61,0.28255,0.39376,0.43728,0.90604,0.86511,0.94651,0.90409,0.85255,0.77642,0.85996,0.81267,0.76809,0.32119,0.13049,0.4277,0.91557,0.000318659,0.000318659,0.000318659
166,1032.73,0.27888,0.38207,0.42215,0.9065,0.90483,0.96429,0.97357,0.91402,0.81748,0.875,0.88873,0.83717,0.32711,0.123,0.41236,0.92306,0.000315059,0.000315059,0.000315059
167,1038.96,0.26622,0.33517,0.39449,0.90332,0.90291,0.95549,0.97357,0.9248,0.81551,0.86681,0.88873,0.8356,0.3054,0.12303,0.41145,0.91706,0.00031146,0.00031146,0.00031146
168,1045.15,0.27214,0.44586,0.4168,0.90492,0.88597,0.95618,0.97027,0.91175,0.81681,0.88475,0.89244,0.84399,0.30301,0.12138,0.4479,0.94596,0.00030786,0.00030786,0.00030786
169,1051.43,0.2702,0.48032,0.41491,0.91228,0.88242,0.92439,0.96881,0.91935,0.81321,0.85296,0.88607,0.84259,0.32591,0.12187,0.4541,0.96805,0.00030426,0.00030426,0.00030426
170,1057.6,0.26978,0.40976,0.4323,0.91551,0.89393,0.95143,0.9025,0.84926,0.82367,0.88077,0.83091,0.77525,0.31295,0.12646,0.4233,0.95021,0.000300661,0.000300661,0.000300661
171,1063.88,0.29054,0.44779,0.47255,0.92294,0.90331,0.96429,0.90409,0.86848,0.83339,0.89286,0.82679,0.78495,0.30948,0.12689,0.40559,0.93628,0.000297061,0.000297061,0.000297061
172,1070.02,0.26223,0.39586,0.40095,0.90558,0.89654,0.96429,0.90607,0.86885,0.82663,0.89286,0.81942,0.77534,0.33266,0.12478,0.40856,0.94936,0.000293462,0.000293462,0.000293462
173,1076.28,0.27343,0.53762,0.39058,0.91905,0.9027,0.95893,0.91202,0.87786,0.81506,0.86964,0.81229,0.78014,0.31554,0.12501,0.42144,0.95002,0.000289862,0.000289862,0.000289862
174,1082.45,0.27825,0.47112,0.45317,0.90816,0.88251,0.95236,0.91202,0.88125,0.79517,0.86358,0.8107,0.77945,0.30858,0.1289,0.43522,0.93265,0.000286262,0.000286262,0.000286262
175,1088.74,0.27052,0.40268,0.36963,0.92192,0.88145,0.94393,0.90862,0.87971,0.79491,0.85465,0.80666,0.77344,0.3031,0.12993,0.43178,0.92515,0.000282663,0.000282663,0.000282663
176,1094.95,0.26929,0.39603,0.38391,0.90577,0.88107,0.96429,0.90862,0.87968,0.79461,0.875,0.79687,0.77364,0.28149,0.13327,0.37261,0.90688,0.000279063,0.000279063,0.000279063
177,1101.28,0.27988,0.42231,0.40856,0.9111,0.88926,0.96429,0.90607,0.83775,0.83693,0.91071,0.84684,0.78406,0.38054,0.132,0.4093,0.98701,0.000275463,0.000275463,0.000275463
178,1107.76,0.2913,0.39959,0.40159,0.91438,0.9021,0.96429,0.91679,0.86998,0.83186,0.89286,0.83299,0.79222,0.32186,0.13223,0.39127,0.9231,0.000271864,0.000271864,0.000271864
179,1113.95,0.27686,0.4396,0.40529,0.9127,0.90461,0.96749,0.92393,0.87271,0.8165,0.87824,0.81887,0.79032,0.32109,0.13611,0.38759,0.92338,0.000268264,0.000268264,0.000268264
180,1120,0.29991,0.44384,0.47847,0.91135,0.90276,0.9682,0.92393,0.8835,0.81538,0.87891,0.82509,0.78877,0.3401,0.13318,0.37222,0.95016,0.000264664,0.000264664,0.000264664
181,1126.24,0.31631,0.50673,0.5019,0.94532,0.90573,0.96957,0.92393,0.87289,0.83571,0.89819,0.83727,0.79265,0.35172,0.1243,0.36441,0.97041,0.000261065,0.000261065,0.000261065
182,1132.32,0.27743,0.39746,0.42882,0.91341,0.90785,0.96992,0.92393,0.8727,0.83776,0.89849,0.8366,0.79143,0.3642,0.1197,0.38578,0.98167,0.000257465,0.000257465,0.000257465
183,1138.58,0.27054,0.44231,0.41096,0.91239,0.90471,0.96995,0.92393,0.86999,0.83454,0.89852,0.84255,0.79125,0.35074,0.11947,0.40061,0.96552,0.000253866,0.000253866,0.000253866
184,1144.72,0.25024,0.45223,0.37298,0.88158,0.90506,0.96882,0.92393,0.88872,0.83475,0.89739,0.8606,0.79487,0.31965,0.11984,0.39611,0.91144,0.000250266,0.000250266,0.000250266
185,1150.99,0.26999,0.508,0.4337,0.90432,0.91017,0.96701,0.995,0.9629,0.82053,0.87808,0.91431,0.86197,0.31403,0.12181,0.38209,0.90587,0.000246666,0.000246666,0.000246666
186,1157.65,0.26963,0.44465,0.39696,0.91734,0.90461,0.96564,0.995,0.94053,0.81667,0.87641,0.90966,0.86585,0.33998,0.12175,0.37611,0.9349,0.000243067,0.000243067,0.000243067
187,1163.93,0.27239,0.4242,0.43206,0.91143,0.90144,0.9658,0.995,0.95291,0.83118,0.89443,0.92871,0.86411,0.30272,0.1227,0.36303,0.9025,0.000239467,0.000239467,0.000239467
188,1169.95,0.27292,0.41237,0.37011,0.91586,0.89974,0.96621,0.995,0.96175,0.82953,0.89484,0.91003,0.86128,0.27962,0.12265,0.36477,0.88305,0.000235867,0.000235867,0.000235867
189,1176.2,0.28681,0.46174,0.39594,0.91478,0.88572,0.96249,0.92393,0.8916,0.81592,0.89146,0.8505,0.79794,0.25151,0.12309,0.37825,0.87602,0.000232268,0.000232268,0.000232268
190,1182.31,0.24795,0.40128,0.39154,0.89745,0.90021,0.92645,0.92393,0.8884,0.86516,0.89074,0.87701,0.80468,0.24704,0.12327,0.39331,0.88377,0.000228668,0.000228668,0.000228668
191,1188.46,0.2494,0.4151,0.40043,0.89543,0.90184,0.92323,0.91679,0.87473,0.86593,0.88811,0.86596,0.79738,0.2484,0.1248,0.39875,0.88343,0.000225068,0.000225068,0.000225068
192,1194.63,0.26826,0.3906,0.36602,0.89812,0.87301,0.96429,0.9831,0.94995,0.838,0.92857,0.93679,0.86743,0.29109,0.12764,0.40908,0.91177,0.000221469,0.000221469,0.000221469
193,1200.75,0.28468,0.50934,0.41239,0.91871,0.87045,0.96429,0.91202,0.87242,0.83578,0.92857,0.86571,0.79636,0.30955,0.12666,0.41293,0.93296,0.000217869,0.000217869,0.000217869
194,1207.04,0.23316,0.33594,0.32459,0.8795,0.89832,0.9658,0.92393,0.87288,0.84562,0.91228,0.86224,0.80371,0.29684,0.12045,0.38689,0.92085,0.000214269,0.000214269,0.000214269
195,1213.22,0.25764,0.38235,0.36926,0.90592,0.9054,0.96429,0.91679,0.86989,0.83488,0.89286,0.82779,0.78644,0.28931,0.11812,0.39562,0.90927,0.00021067,0.00021067,0.00021067
196,1219.43,0.27023,0.6558,0.38042,0.90809,0.89496,0.96187,0.98786,0.95534,0.80721,0.87258,0.90216,0.85784,0.26863,0.11731,0.37928,0.89111,0.00020707,0.00020707,0.00020707
197,1225.67,0.2788,0.44565,0.39367,0.90399,0.85376,0.96429,0.88125,0.85747,0.78422,0.89286,0.79746,0.75409,0.25797,0.1162,0.39743,0.87806,0.000203471,0.000203471,0.000203471
198,1231.95,0.2433,0.5117,0.35513,0.89908,0.84847,0.96902,0.88839,0.85272,0.77899,0.89764,0.8046,0.76309,0.25985,0.11366,0.40679,0.87627,0.000199871,0.000199871,0.000199871
199,1238.14,0.24501,0.4515,0.39078,0.88218,0.85376,0.96916,0.88839,0.85015,0.78395,0.89783,0.8046,0.76459,0.25813,0.11278,0.42348,0.87495,0.000196271,0.000196271,0.000196271
200,1244.77,0.2706,0.38361,0.39517,0.90244,0.86446,0.96938,0.92393,0.90065,0.7947,0.89795,0.84877,0.80499,0.26772,0.11265,0.41936,0.87755,0.000192672,0.000192672,0.000192672
201,1251.05,0.24171,0.36471,0.35592,0.88501,0.89739,0.96834,0.92393,0.89757,0.82683,0.89695,0.8446,0.80705,0.28287,0.1131,0.37149,0.88517,0.000189072,0.000189072,0.000189072
202,1257.18,0.24604,0.37134,0.36204,0.89175,0.90203,0.96429,0.91679,0.88762,0.83144,0.89286,0.83106,0.78799,0.27484,0.116,0.3457,0.87945,0.000185472,0.000185472,0.000185472
203,1263.42,0.24575,0.43472,0.37431,0.89394,0.90733,0.9686,0.92393,0.9019,0.83706,0.89717,0.84301,0.7957,0.26589,0.11788,0.33549,0.87209,0.000181873,0.000181873,0.000181873
204,1269.63,0.25584,0.43032,0.40166,0.89418,0.91251,0.96729,0.995,0.96859,0.8773,0.93157,0.95071,0.86947,0.26119,0.11943,0.32416,0.86691,0.000178273,0.000178273,0.000178273
205,1276.35,0.24633,0.35455,0.35969,0.89321,0.91306,0.96652,0.92393,0.89544,0.86003,0.913,0.85385,0.79442,0.27193,0.12271,0.32527,0.8719,0.000174673,0.000174673,0.000174673
206,1282.47,0.24872,0.44516,0.39889,0.90682,0.90886,0.96429,0.91679,0.88945,0.85611,0.91071,0.84827,0.79386,0.27352,0.12505,0.3266,0.87864,0.000171074,0.000171074,0.000171074
207,1288.86,0.2597,0.48435,0.40131,0.90481,0.91,0.96429,0.98786,0.96057,0.87481,0.92857,0.93743,0.87021,0.26685,0.12367,0.32069,0.87463,0.000167474,0.000167474,0.000167474
208,1294.97,0.23817,0.35677,0.33492,0.90339,0.91173,0.96429,0.98786,0.96889,0.85894,0.91071,0.92352,0.86882,0.24607,0.12002,0.32783,0.86683,0.000163875,0.000163875,0.000163875
209,1301.42,0.25509,0.42448,0.39978,0.91936,0.90879,0.96429,0.98786,0.96471,0.8561,0.91071,0.92416,0.86683,0.24201,0.11919,0.3243,0.86901,0.000160275,0.000160275,0.000160275
210,1307.56,0.25728,0.36861,0.36092,0.90481,0.89994,0.96429,0.98786,0.97204,0.82985,0.89286,0.89228,0.85229,0.23319,0.12103,0.31968,0.86108,0.000156675,0.000156675,0.000156675
211,1313.78,0.26405,0.4685,0.41483,0.8909,0.89764,0.96429,0.91679,0.90094,0.81011,0.875,0.83852,0.7842,0.24256,0.12177,0.32073,0.86215,0.000153076,0.000153076,0.000153076
212,1319.88,0.24378,0.4137,0.33704,0.9044,0.89234,0.96429,0.91679,0.89782,0.80491,0.875,0.81834,0.77994,0.24223,0.12175,0.33574,0.85956,0.000149476,0.000149476,0.000149476
213,1326.06,0.24257,0.37537,0.34729,0.90296,0.89312,0.96429,0.91679,0.89787,0.78778,0.85714,0.79299,0.77741,0.2359,0.12089,0.33936,0.86029,0.000145876,0.000145876,0.000145876
214,1332.28,0.24986,0.3354,0.36466,0.90212,0.89739,0.96429,0.91679,0.89787,0.79211,0.85714,0.79299,0.77741,0.24418,0.12084,0.33865,0.867,0.000142277,0.000142277,0.000142277
215,1338.5,0.21569,0.35764,0.33535,0.87283,0.90056,0.96429,0.91679,0.89789,0.81269,0.875,0.81933,0.78004,0.24826,0.12085,0.33045,0.87012,0.000138677,0.000138677,0.000138677
216,1344.73,0.23651,0.33686,0.34127,0.90152,0.90793,0.96429,0.91679,0.88401,0.81985,0.875,0.83387,0.78408,0.25976,0.12048,0.31626,0.87644,0.000135077,0.000135077,0.000135077
217,1350.92,0.2479,0.39386,0.35188,0.89579,0.90954,0.96429,0.91679,0.88397,0.82138,0.875,0.83387,0.78315,0.24921,0.11902,0.31767,0.87214,0.000131478,0.000131478,0.000131478
218,1357.07,0.22949,0.3491,0.35002,0.89472,0.90851,0.96429,0.91679,0.891,0.8201,0.875,0.83109,0.7827,0.26114,0.12118,0.32805,0.87935,0.000127878,0.000127878,0.000127878
219,1363.14,0.24187,0.38798,0.33369,0.89036,0.90881,0.96429,0.91679,0.885,0.82065,0.875,0.8279,0.78219,0.27265,0.12202,0.32509,0.8861,0.000124278,0.000124278,0.000124278
220,1369.38,0.2607,0.46332,0.37329,0.90393,0.91102,0.96429,0.91679,0.88499,0.8227,0.875,0.8279,0.78224,0.28994,0.12042,0.32749,0.90196,0.000120679,0.000120679,0.000120679
221,1375.55,0.23278,0.363,0.36268,0.88598,0.91277,0.96429,0.91679,0.88022,0.82432,0.875,0.81173,0.78343,0.27507,0.11733,0.33327,0.89366,0.000117079,0.000117079,0.000117079
222,1382.27,0.23215,0.30314,0.35401,0.88942,0.91131,0.96429,0.91679,0.89779,0.84055,0.89286,0.84466,0.79044,0.25844,0.11561,0.33077,0.87986,0.00011348,0.00011348,0.00011348
223,1388.42,0.24395,0.40021,0.35996,0.89362,0.90963,0.96429,0.91679,0.89936,0.83892,0.89286,0.84466,0.79182,0.25521,0.11555,0.33071,0.87772,0.00010988,0.00010988,0.00010988
224,1394.67,0.2269,0.32824,0.32584,0.88137,0.91085,0.96862,0.92393,0.90948,0.84024,0.89719,0.84322,0.79645,0.24896,0.11604,0.32589,0.87031,0.00010628,0.00010628,0.00010628
225,1400.78,0.24187,0.45534,0.35554,0.89998,0.91149,0.96836,0.92393,0.90338,0.8409,0.89693,0.84609,0.79537,0.24342,0.11741,0.3239,0.86525,0.000102681,0.000102681,0.000102681
226,1407.06,0.21316,0.31063,0.32428,0.88156,0.91163,0.96825,0.92393,0.89551,0.84108,0.89682,0.85335,0.7944,0.25553,0.11885,0.32143,0.87451,9.9081e-05,9.9081e-05,9.9081e-05
227,1413.2,0.2277,0.33959,0.3434,0.87499,0.91123,0.96825,0.92393,0.90161,0.84068,0.89683,0.85335,0.7944,0.26202,0.11888,0.32132,0.87794,9.54814e-05,9.54814e-05,9.54814e-05
228,1419.43,0.22616,0.35403,0.32738,0.88156,0.90967,0.96813,0.92393,0.89922,0.82151,0.87884,0.83637,0.79497,0.25915,0.11786,0.32452,0.87524,9.18817e-05,9.18817e-05,9.18817e-05
229,1425.61,0.24783,0.36943,0.363,0.90506,0.9074,0.96799,0.92393,0.90394,0.81927,0.87871,0.83637,0.79497,0.24656,0.11599,0.31987,0.86582,8.82821e-05,8.82821e-05,8.82821e-05
230,1431.87,0.2275,0.32056,0.30497,0.87547,0.90389,0.96744,0.92393,0.89553,0.8334,0.89601,0.85172,0.79416,0.23946,0.11412,0.32618,0.8608,8.46824e-05,8.46824e-05,8.46824e-05
231,1438,0.24256,0.40404,0.36673,0.89322,0.9032,0.96687,0.92393,0.89555,0.8327,0.89545,0.85335,0.7944,0.2377,0.11368,0.32766,0.85658,8.10828e-05,8.10828e-05,8.10828e-05
232,1444.28,0.2227,0.31294,0.31377,0.8806,0.9031,0.96563,0.92393,0.89555,0.83258,0.8942,0.85335,0.7944,0.23353,0.11321,0.32877,0.85416,7.74832e-05,7.74832e-05,7.74832e-05
233,1450.32,0.21931,0.35752,0.33414,0.88938,0.90392,0.96641,0.995,0.95957,0.83338,0.89498,0.92442,0.86547,0.22278,0.11312,0.33348,0.84654,7.38835e-05,7.38835e-05,7.38835e-05
234,1456.64,0.22746,0.33751,0.30472,0.88556,0.90637,0.96715,0.995,0.97376,0.83581,0.89572,0.92279,0.86344,0.22001,0.1139,0.32574,0.84243,7.02839e-05,7.02839e-05,7.02839e-05
235,1462.62,0.21868,0.39195,0.34828,0.90236,0.90772,0.96754,0.995,0.97381,0.83713,0.89612,0.92743,0.86569,0.22195,0.11456,0.32194,0.84416,6.66842e-05,6.66842e-05,6.66842e-05
236,1468.99,0.23349,0.41871,0.32164,0.90626,0.91019,0.96797,0.92393,0.90486,0.85722,0.91439,0.86798,0.79594,0.22237,0.11623,0.31478,0.84936,6.30846e-05,6.30846e-05,6.30846e-05
237,1474.96,0.21238,0.3824,0.30275,0.87111,0.91285,0.96795,0.92393,0.90483,0.8599,0.91438,0.85905,0.79402,0.22948,0.11794,0.31147,0.85434,5.9485e-05,5.9485e-05,5.9485e-05
238,1481.4,0.21991,0.33535,0.31894,0.89683,0.91209,0.96864,0.92393,0.90486,0.85917,0.91507,0.85905,0.79484,0.22874,0.11781,0.30632,0.85143,5.58853e-05,5.58853e-05,5.58853e-05
239,1487.36,0.23196,0.38462,0.34423,0.88159,0.91163,0.96896,0.92393,0.90483,0.85872,0.91538,0.85905,0.79484,0.22756,0.11709,0.30911,0.84764,5.22857e-05,5.22857e-05,5.22857e-05
240,1493.72,0.22366,0.33963,0.31224,0.87412,0.91214,0.96874,0.92393,0.9111,0.85922,0.91517,0.8553,0.79477,0.22118,0.11567,0.31752,0.84061,4.8686e-05,4.8686e-05,4.8686e-05
241,1500.6,0.18705,0.17513,0.22771,0.86755,0.91081,0.96804,0.92393,0.90399,0.85792,0.91447,0.85605,0.80344,0.21379,0.11564,0.31027,0.83842,4.50864e-05,4.50864e-05,4.50864e-05
242,1506.74,0.17744,0.16425,0.20225,0.86873,0.90863,0.96778,0.995,0.96795,0.85576,0.91421,0.9301,0.87435,0.20769,0.11578,0.30184,0.83952,4.14868e-05,4.14868e-05,4.14868e-05
243,1513.35,0.1864,0.16697,0.23481,0.87438,0.90875,0.9671,0.995,0.968,0.85585,0.91353,0.9301,0.87779,0.20526,0.116,0.29992,0.83945,3.78871e-05,3.78871e-05,3.78871e-05
244,1522.92,0.17593,0.16843,0.21776,0.86776,0.91066,0.96651,0.995,0.96643,0.84004,0.89509,0.92157,0.87844,0.19841,0.11623,0.30069,0.83764,3.42875e-05,3.42875e-05,3.42875e-05
245,1529.07,0.18309,0.20722,0.23736,0.88336,0.91022,0.96638,0.995,0.96643,0.83937,0.89501,0.92541,0.87591,0.19465,0.11638,0.30308,0.83809,3.06878e-05,3.06878e-05,3.06878e-05
246,1535.16,0.1747,0.21694,0.22789,0.8789,0.90881,0.96613,0.995,0.98225,0.82059,0.87684,0.89748,0.86539,0.19234,0.11641,0.30051,0.83655,2.70882e-05,2.70882e-05,2.70882e-05
247,1541.43,0.16695,0.17309,0.18156,0.86992,0.90973,0.96577,0.995,0.98225,0.82146,0.87649,0.89748,0.86539,0.19536,0.11641,0.29722,0.83641,2.34886e-05,2.34886e-05,2.34886e-05
248,1547.38,0.1676,0.164,0.21805,0.86103,0.91174,0.9648,0.995,0.98222,0.82315,0.87556,0.89698,0.86265,0.19676,0.11677,0.29344,0.83714,1.98889e-05,1.98889e-05,1.98889e-05
249,1553.92,0.16788,0.1633,0.21452,0.86071,0.91229,0.96509,0.995,0.98222,0.82394,0.8758,0.89867,0.86028,0.19341,0.11693,0.28976,0.83514,1.62893e-05,1.62893e-05,1.62893e-05
250,1559.83,0.16884,0.16799,0.24647,0.86133,0.91216,0.96534,0.995,0.98222,0.82383,0.87606,0.89582,0.8597,0.19223,0.11693,0.28887,0.83469,1.26896e-05,1.26896e-05,1.26896e-05
