epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,186.393,0.45956,0.80325,1.11465,1.01038,0.53712,0.71392,0.64808,0.53539,0.42991,0.57107,0.50594,0.46569,0.34015,0.18987,1.31015,0.9598,0.00080461,0.00080461,0.00080461
31,192.802,0.48043,0.84341,1.06371,1.0268,0.30715,0.82143,0.62532,0.47768,0.21045,0.67857,0.48318,0.38572,0.28016,0.1819,1.38889,0.90866,0.000801011,0.000801011,0.000801011
32,198.627,0.46972,0.8222,1.11015,1.02518,0.27008,0.78571,0.4639,0.44185,0.16562,0.64286,0.32176,0.3088,0.33476,0.21905,1.41526,0.90391,0.000797411,0.000797411,0.000797411
33,204.732,0.53177,0.99557,1.14038,1.06411,0.26885,0.61905,0.52306,0.48735,0.18356,0.47619,0.38092,0.372,0.40456,0.16655,1.41973,1.03463,0.000793812,0.000793812,0.000793812
34,210.556,0.44892,0.7979,1.04728,0.99702,0.30127,0.61925,0.46549,0.4495,0.22046,0.52996,0.36259,0.32865,0.3586,0.17078,1.32459,0.92923,0.000790212,0.000790212,0.000790212
35,216.747,0.47404,0.67939,1.02332,1.03315,0.27512,0.67857,0.45464,0.38699,0.16138,0.5567,0.31618,0.28801,0.3896,0.15326,1.41603,0.94262,0.000786612,0.000786612,0.000786612
36,222.523,0.49087,0.85006,1.02704,1.01922,0.3149,0.90476,0.46639,0.41336,0.18756,0.7619,0.32425,0.30287,0.45731,0.17163,1.22019,1.01151,0.000783013,0.000783013,0.000783013
37,228.737,0.4938,0.8447,1.04058,1.03848,0.27592,0.83333,0.39442,0.38595,0.20211,0.74405,0.27628,0.25666,0.3101,0.18845,1.22619,0.91075,0.000779413,0.000779413,0.000779413
38,234.459,0.48935,1.02895,1.05178,1.03241,0.29794,0.91326,0.38697,0.38498,0.202,0.80805,0.25546,0.24754,0.28494,0.16663,1.25578,0.86405,0.000775813,0.000775813,0.000775813
39,240.454,0.44698,0.98908,0.98909,1.02044,0.27226,0.95238,0.41921,0.41778,0.21619,0.88095,0.31315,0.2792,0.28709,0.14793,1.36143,0.87701,0.000772214,0.000772214,0.000772214
40,246.507,0.47482,0.96738,0.98707,1.02262,0.25679,0.86905,0.56458,0.53578,0.17529,0.7619,0.43409,0.42507,0.37007,0.18305,1.32549,0.94945,0.000768614,0.000768614,0.000768614
41,252.441,0.44562,0.82864,0.88267,0.99027,0.24379,0.83399,0.39507,0.38223,0.13838,0.85714,0.25293,0.24291,0.29838,0.34128,1.15878,0.87647,0.000765014,0.000765014,0.000765014
42,258.591,0.46176,0.94868,0.95199,1.02935,0.20646,0.95238,0.4783,0.40513,0.13059,0.80952,0.33616,0.28885,0.51719,0.17891,1.29306,1.05219,0.000761415,0.000761415,0.000761415
43,264.405,0.42856,0.78238,0.87146,0.99864,0.48302,0.64286,0.56776,0.43489,0.35235,0.54938,0.42562,0.35729,0.60731,0.16688,1.33457,1.20122,0.000757815,0.000757815,0.000757815
44,270.836,0.4347,0.86937,0.83539,1.00808,0.70878,0.55952,0.55445,0.45391,0.62639,0.47024,0.45445,0.35158,0.34773,0.17794,1.24961,0.97076,0.000754215,0.000754215,0.000754215
45,277.175,0.46014,0.75552,0.87665,1.02631,0.60584,0.60954,0.64053,0.52653,0.54511,0.50273,0.51227,0.45738,0.51403,0.20085,1.11379,1.16658,0.000750616,0.000750616,0.000750616
46,283.349,0.46047,0.72851,0.86155,1.01944,0.58085,0.80083,0.7529,0.50055,0.5043,0.69369,0.62713,0.46406,0.72913,0.16489,1.07159,1.4703,0.000747016,0.000747016,0.000747016
47,289.306,0.45779,0.78234,0.87604,1.03644,0.63704,0.81364,0.71327,0.53831,0.50518,0.67079,0.57113,0.49791,0.67295,0.17461,1.03757,1.33875,0.000743417,0.000743417,0.000743417
48,296.066,0.46584,0.8706,0.85691,1.0182,0.79807,0.55952,0.71166,0.64042,0.66518,0.41667,0.56952,0.56108,0.48209,0.19188,1.0813,1.12966,0.000739817,0.000739817,0.000739817
49,302.589,0.43851,0.74449,0.81773,1.00561,0.46845,0.66882,0.60424,0.52975,0.33228,0.58341,0.4621,0.43312,0.42899,0.18904,1.14192,1.07044,0.000736217,0.000736217,0.000736217
50,308.993,0.46385,0.82962,0.84214,1.0327,0.50815,0.5413,0.46455,0.40467,0.37862,0.4002,0.32241,0.31691,0.50505,0.24281,1.22795,1.1278,0.000732618,0.000732618,0.000732618
51,315.437,0.44498,0.71702,0.81142,1.03425,0.62339,0.61867,0.49606,0.42288,0.49472,0.47581,0.35392,0.3353,0.50845,0.43466,1.26574,1.13992,0.000729018,0.000729018,0.000729018
52,321.757,0.43974,0.87176,0.77726,1.00634,0.82488,0.67593,0.76145,0.63867,0.74807,0.56879,0.6297,0.56533,0.44476,0.15534,1.02134,1.03822,0.000725418,0.000725418,0.000725418
53,328.484,0.42106,0.64231,0.79254,1.02302,0.6998,0.74951,0.75229,0.64413,0.61582,0.66071,0.63809,0.5775,0.454,0.1552,1.01965,1.06947,0.000721819,0.000721819,0.000721819
54,334.744,0.43557,0.68153,0.7492,1.02241,0.70248,0.95892,0.95333,0.78084,0.63171,0.85178,0.8314,0.76109,0.42579,0.14059,1.01163,1.07217,0.000718219,0.000718219,0.000718219
55,341.281,0.4093,0.65929,0.72913,1.00993,0.78539,0.74563,0.88698,0.72427,0.7272,0.63849,0.76194,0.6852,0.37763,0.14092,1.11443,1.02682,0.000714619,0.000714619,0.000714619
56,347.217,0.43103,0.7394,0.78227,1.00635,0.87036,0.90288,0.995,0.80477,0.78718,0.8136,0.88347,0.81132,0.44107,0.13411,0.84158,1.11629,0.00071102,0.00071102,0.00071102
57,353.763,0.4111,0.65386,0.7535,1.00752,0.7033,0.85205,0.92766,0.77728,0.62088,0.76277,0.82495,0.73727,0.46562,0.13006,0.89256,1.10483,0.00070742,0.00070742,0.00070742
58,359.64,0.41464,0.66256,0.69737,1.00223,0.61374,0.8289,0.75023,0.62587,0.5319,0.73998,0.63096,0.57516,0.45743,0.1361,1.10699,1.0865,0.000703821,0.000703821,0.000703821
59,365.812,0.40172,0.56287,0.66685,0.97105,0.74618,0.67857,0.75918,0.63887,0.66293,0.58929,0.64031,0.59134,0.49511,0.13712,1.04589,1.11085,0.000700221,0.000700221,0.000700221
60,371.773,0.40104,0.66319,0.72454,0.99085,0.55534,0.82143,0.78741,0.64583,0.45659,0.71429,0.66035,0.59254,0.57367,0.13453,0.76228,1.21473,0.000696621,0.000696621,0.000696621
61,378.057,0.40598,0.7012,0.73239,0.99451,0.65509,0.72517,0.77846,0.67007,0.58837,0.65374,0.68386,0.59338,0.44794,0.14202,0.83673,1.05522,0.000693022,0.000693022,0.000693022
62,384.091,0.42977,0.87195,0.72635,0.99873,0.77086,0.7159,0.74734,0.61827,0.6702,0.60875,0.62527,0.54177,0.43075,0.15562,0.93732,1.00729,0.000689422,0.000689422,0.000689422
63,390.354,0.40613,0.8685,0.68824,0.97621,0.74868,0.65466,0.71414,0.6071,0.64922,0.55262,0.59136,0.5339,0.43454,0.15769,0.94743,1.03944,0.000685822,0.000685822,0.000685822
64,396.45,0.41329,0.87927,0.72418,1.01969,0.69777,0.81628,0.85683,0.73384,0.59796,0.70913,0.73761,0.67294,0.37961,0.17188,1.01417,1.0377,0.000682223,0.000682223,0.000682223
65,402.723,0.41901,0.75232,0.65934,0.99254,0.74488,0.90031,0.94762,0.79411,0.64502,0.79317,0.82167,0.77691,0.3946,0.14861,0.88359,1.05336,0.000678623,0.000678623,0.000678623
66,408.934,0.38712,0.62153,0.62721,0.97902,0.82899,0.90245,0.995,0.80443,0.71031,0.77745,0.85742,0.81102,0.45853,0.15989,0.80192,1.16511,0.000675023,0.000675023,0.000675023
67,415.162,0.38396,0.68258,0.66495,0.96844,0.80685,0.91418,0.97516,0.8011,0.71514,0.80767,0.84808,0.79265,0.42733,0.16406,0.8154,1.10597,0.000671424,0.000671424,0.000671424
68,421.712,0.40895,0.69174,0.66663,0.99876,0.90562,0.86403,0.96135,0.80403,0.84398,0.7926,0.86039,0.80453,0.41379,0.13652,0.83432,1.09404,0.000667824,0.000667824,0.000667824
69,427.984,0.39281,0.55021,0.6527,0.97781,0.74587,0.79625,0.83037,0.73979,0.67988,0.72482,0.74751,0.68444,0.41645,0.13776,0.80447,1.05392,0.000664224,0.000664224,0.000664224
70,434.078,0.36769,0.65633,0.61922,0.97133,0.50219,0.89286,0.74017,0.66469,0.43706,0.82143,0.66247,0.59417,0.46955,0.1478,0.78966,1.11554,0.000660625,0.000660625,0.000660625
71,440.368,0.40105,0.71398,0.68137,1.01124,0.3629,0.81597,0.60907,0.53882,0.31449,0.7624,0.54897,0.4693,0.45219,0.14723,0.95182,1.10555,0.000657025,0.000657025,0.000657025
72,446.423,0.37047,0.60955,0.6248,0.98387,0.85563,0.87777,0.94008,0.80264,0.78824,0.80634,0.85436,0.79595,0.52241,0.14184,0.70645,1.18903,0.000653426,0.000653426,0.000653426
73,452.619,0.42814,0.70312,0.70169,1.01836,0.81115,0.81039,0.83135,0.70341,0.7279,0.72111,0.71702,0.68654,0.50359,0.13954,0.82096,1.17703,0.000649826,0.000649826,0.000649826
74,458.782,0.39689,0.69118,0.67879,0.98598,0.85544,0.92962,0.90862,0.7393,0.73615,0.80471,0.77353,0.72908,0.55049,0.17144,0.78878,1.2337,0.000646226,0.000646226,0.000646226
75,464.989,0.37866,0.58874,0.65189,0.97879,0.84719,0.9307,0.995,0.81618,0.74412,0.82377,0.87932,0.80984,0.55659,0.14814,0.7947,1.22868,0.000642627,0.000642627,0.000642627
76,471.472,0.36777,0.53131,0.6074,0.96494,0.9101,1,0.98786,0.66888,0.82442,0.91071,0.90263,0.72604,0.74093,0.13258,0.91715,1.47929,0.000639027,0.000639027,0.000639027
77,477.706,0.38704,0.60822,0.6389,0.9918,0.82066,0.96429,0.90607,0.69688,0.72199,0.85714,0.79314,0.71147,0.79147,0.13767,0.79437,1.50473,0.000635427,0.000635427,0.000635427
78,483.774,0.4274,0.75328,0.67771,1.01622,0.84119,0.96429,0.91202,0.75075,0.77312,0.89286,0.8378,0.75787,0.6817,0.15621,0.59848,1.3717,0.000631828,0.000631828,0.000631828
79,490.016,0.41256,0.58732,0.65988,0.99011,0.87961,0.96429,0.91679,0.7945,0.79257,0.875,0.82397,0.77643,0.61312,0.14916,0.55725,1.25595,0.000628228,0.000628228,0.000628228
80,496.088,0.39865,0.61118,0.62452,0.99724,0.88684,0.96429,0.91679,0.74472,0.79982,0.875,0.81551,0.72443,0.5842,0.1306,0.71821,1.10478,0.000624628,0.000624628,0.000624628
81,502.617,0.38432,0.54651,0.59928,0.97652,0.63877,0.70976,0.76223,0.65154,0.57241,0.63967,0.68185,0.62192,0.486,0.1252,0.91451,1.00961,0.000621029,0.000621029,0.000621029
82,508.675,0.38125,0.51996,0.63308,0.97542,0.68392,0.92857,0.88536,0.77036,0.6036,0.83929,0.78087,0.73974,0.43093,0.13439,0.70015,1.04761,0.000617429,0.000617429,0.000617429
83,514.893,0.40526,0.66068,0.61076,0.98869,0.83539,0.88088,0.95849,0.86502,0.76883,0.80945,0.87462,0.81922,0.44814,0.13151,0.61184,1.06969,0.00061383,0.00061383,0.00061383
